GEOID,name,total_population,median_income,median_home_value,educational_attainment,white_alone,black_alone,native,asian,native_hawaiian_pacific_islander,some_other_race_alone,two_or_more,hispanic_or_latino,total_population00,median_income00,median_home_value00,educational_attainment_00,white_alone00,black_alone00,native00,asian00,native_hawaiian_pacific_islander00,hispanic_or_latino00,educational_attainment_pct,educational_attainment_pct00,educational_attainment_change,home_pct_change,has_pop_500+_2000,has_pop_500+_2016,median_40th_home_2000,median_40th_income_2000,educational_is_upper3rd,median_home_higher,median_home_top_third,gentrified,pct_white_alone_change,pct_white_alone_2016,pct_black_alone_change,pct_black_alone_2016,pct_native_alone_change,pct_native_alone_2016,pct_asian_alone_change,pct_asian_alone_2016,pct_hispanic_or_latino_alone_change,pct_hispanic_or_latino_alone_2016,pct_native_hawaiian_pacific_islander_change,pct_native_hawaiian_pacific_islander_2016,low_population,eligible_for_gentrification,eligible_not_gentrified_highpop,not_eligible_highpop
36061020901,"Census Tract 209.01, New York County, New York",3652,22212.0,,382.0,175.0,1238.0,0.0,136.0,0.0,0.0,89.0,2014.0,3448.0,14310.0,96700.0,266.0,63.0,2009.0,12.0,71.0,0.0,1291.0,10.46002190580504,7.7146171693735495,2.7454047364314897,,True,True,True,True,False,False,False,False,2.9647486804420806,4.791894852135816,-24.366427956076578,33.89923329682366,-0.019440766652350783,0.0,-0.11502453602640883,3.723986856516977,17.705868824379998,55.14786418400877,0.0,0.0,False,True,True,False
36061021000,"Census Tract 210, New York County, New York",7199,29932.0,,1427.0,292.0,4721.0,0.0,120.0,0.0,0.0,121.0,1945.0,6623.0,26047.0,17700.0,710.0,26.0,5442.0,12.0,27.0,1.0,1110.0,19.822197527434366,10.72021742412804,9.101980103306326,,True,True,True,True,True,False,False,False,3.663547563111515,4.056118905403528,-16.58964914452757,65.57855257674677,-0.014496955335262324,0.0,-0.03261814950434028,1.66689818030282,10.257864802762022,27.01764133907487,-0.015098897780462027,0.0,False,True,True,False
36061021100,"Census Tract 211, New York County, New York",9976,47019.0,492300.0,3983.0,3356.0,1823.0,0.0,2491.0,0.0,277.0,211.0,1818.0,10718.0,34943.32449,100285.405,3583.911765,3517.411765,2978.058824,65.02941176,1260.2352939999996,3.0,2806.264706,39.92582197273456,33.43825121291286,6.4875707598217005,0.7148089234206785,True,True,True,True,False,True,True,False,0.8229381345234117,33.64073777064956,-9.511726097685763,18.273857257417802,0.04512773511991375,0.0,0.8745514221517361,24.969927826784282,-7.958990275163849,18.22373696872494,-0.027990296697144992,0.0,False,True,True,False
36061021200,"Census Tract 212, New York County, New York",4562,54007.0,326700.0,1889.0,297.0,2983.0,0.0,177.0,0.0,10.0,156.0,939.0,4166.0,29563.0,137500.0,864.0,56.0,3825.0,13.0,25.0,0.0,230.0,41.407277509864095,20.739318290926548,20.667959218937547,0.4107744107744108,True,True,True,True,True,True,True,True,5.166087424492084,6.51030249890399,-26.426702625773913,65.38798772468216,-0.027087192346215982,0.0,-0.052090754511953774,3.87987724682157,15.062194256210322,20.583077597544936,0.0,0.0,False,True,False,False
36061021303,"Census Tract 213.03, New York County, New York",5795,36759.0,,1611.0,829.0,2579.0,93.0,227.0,0.0,0.0,168.0,1992.0,5941.000024,24920.71197,8666.625963,478.9056549,136.97927090000002,3582.55542,12.99714088,106.9807014,0.0,2079.491089,27.799827437446073,8.061027654693712,19.73879978275236,,True,True,True,True,True,False,False,False,11.999775556391405,14.305435720448662,-15.798346016622936,44.50388265746333,0.005511727769850955,1.6048317515099224,0.04536755492524214,3.917169974115617,-0.6279139524673027,34.37446074201898,0.0,0.0,False,True,True,False
36061021400,"Census Tract 214, New York County, New York",3332,51538.0,,1129.0,238.0,2627.0,6.0,72.0,0.0,0.0,91.0,304.0,3161.0,25788.0,120800.0,467.0,10.0,2986.0,10.0,16.0,0.0,135.0,33.883553421368546,14.773805757671623,19.109747663696922,,True,True,True,True,True,False,False,False,6.82650155918109,7.142857142857142,-15.622240671023235,78.84153661464586,-0.016235535656844158,0.18007202881152462,-0.025976857050950763,2.1608643457382954,4.852849080157214,9.123649459783914,0.0,0.0,False,True,True,False
36061021500,"Census Tract 215, New York County, New York",4128,31401.0,583300.0,709.0,627.0,2485.0,0.0,82.0,0.0,17.0,12.0,905.0,2925.0,18134.35345,777778.5556,113.0,26.0,2558.0,20.0,4.0,0.0,313.0,17.175387596899224,3.8632478632478633,13.31213973365136,-0.8667752063089317,True,True,False,True,True,False,False,False,14.300064599483203,15.188953488372093,-27.254348042138737,60.19864341085272,-0.19926455972967605,0.0,-0.03985291194593521,1.9864341085271318,11.2225949115484,21.9234496124031,0.0,0.0,False,False,False,True
36061021600,"Census Tract 216, New York County, New York",8289,59670.0,745800.0,2951.0,2103.0,4220.0,0.0,324.0,0.0,16.0,174.0,1452.0,7986.0,25236.0,153800.0,980.0,286.0,5817.0,29.0,156.0,1.0,1673.0,35.601399445047655,12.271475081392436,23.329924363655216,0.711289890050952,True,True,True,True,True,True,True,True,21.78970636181178,25.370973579442634,-21.92912424828865,50.910845699119314,-0.013274225189050082,0.0,-0.07140617687902795,3.908794788273615,-3.4319695732461213,17.517191458559537,-0.012521913348359628,0.0,False,True,False,False
36061021703,"Census Tract 217.03, New York County, New York",8,,,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00000003,24117.99954,,0.09435311,0.020729093,0.444603294,0.002859185,0.0192995,0.0,0.508934975,50.0,9.435310716940679,40.56468928305932,,False,False,False,True,True,False,False,False,97.92709076218728,100.0,-44.46032806619015,0.0,-0.2501786789224452,0.0,-1.6887061921015016,0.0,-50.893495973195115,0.0,0.0,0.0,True,False,False,False
36061021800,"Census Tract 218, New York County, New York",7110,48429.0,,1884.0,1192.0,4329.0,0.0,163.0,0.0,0.0,210.0,1216.0,5018.0,22246.0,392300.0,497.0,104.0,3986.0,19.0,26.0,0.0,872.0,26.49789029535865,9.90434436030291,16.593545935055744,,True,True,False,True,True,False,False,False,14.692580689826052,16.76511954992968,-18.547961515758466,60.88607594936709,-0.11140765256328977,0.0,-0.15245257719187022,2.2925457102672295,-0.274768919092395,17.10267229254571,0.0,0.0,False,False,False,True
36061021900,"Census Tract 219, New York County, New York",6415,21585.0,,763.0,298.0,2225.0,0.0,233.0,14.0,0.0,145.0,3500.0,6423.0,17272.0,625000.0,215.0,128.0,2560.0,14.0,101.0,4.0,3601.0,11.893998441153546,3.3473454771913436,8.546652963962202,,True,True,False,True,True,False,False,False,2.6525241942167845,4.645362431800468,-5.172431158532596,34.684333593141076,0.00027182127168912107,0.0,0.0019609963171856037,3.632112236944661,-1.504518603921099,54.55962587685113,0.1559623085829144,0.2182385035074045,False,False,False,True
36061022000,"Census Tract 220, New York County, New York",5977,53203.0,1000000.0,1672.0,815.0,3741.0,0.0,368.0,0.0,0.0,161.0,892.0,5068.0,21123.0,376700.0,638.0,145.0,4048.0,25.0,54.0,0.0,759.0,27.973899949807596,12.588792423046566,15.385107526761029,0.47262,True,True,False,True,True,True,True,False,10.774513958334627,13.635603145390665,-17.28378938522426,62.589928057553955,-0.07502120401290985,0.0,-0.16204580066788532,6.156934917182532,-0.05244716691542983,14.923874853605486,0.0,0.0,False,False,False,True
36061022102,"Census Tract 221.02, New York County, New York",2451,41635.0,537900.0,937.0,562.0,1581.0,0.0,49.0,0.0,52.0,74.0,133.0,2050.0,30185.0,175000.0,433.0,46.0,1711.0,8.0,19.0,1.0,259.0,38.22929416564668,21.121951219512194,17.107342946134484,0.544525004647704,True,True,True,True,True,True,True,True,20.685514125643092,22.92941656466748,-18.959130668418055,64.50428396572828,-0.06384651361813498,0.0,-0.15163546984307041,1.9991840065279476,-7.2077897523161285,5.426356589147287,-0.04878048780487805,0.0,False,True,False,False
36061022200,"Census Tract 222, New York County, New York",3090,38276.0,1009300.0,923.0,939.0,1444.0,40.0,105.0,0.0,19.0,107.0,468.0,2412.0,16744.0,450000.0,264.0,68.0,1975.0,5.0,28.0,1.0,330.0,29.870550161812297,10.945273631840797,18.925276529971498,0.37580501337560684,True,True,False,True,True,True,True,False,27.56911236696775,30.388349514563107,-35.15086380395755,46.73139158576052,-0.04548455135326601,1.2944983818770228,-0.2547134875782896,3.3980582524271843,1.4640390281601725,15.145631067961165,-0.04145936981757877,0.0,False,False,False,True
36061022301,"Census Tract 223.01, New York County, New York",8022,37583.0,461200.0,1519.0,815.0,894.0,23.0,219.0,0.0,0.0,134.0,5960.0,8410.0,26771.0,171100.0,433.0,192.0,429.0,28.0,145.0,0.0,7567.0,18.93542757417103,5.1486325802615935,13.786794993909435,0.4806157849089333,True,True,True,True,True,True,True,True,7.876564773863551,10.159561206681625,6.0432828745919,11.144353029169784,0.016103159830086755,0.28671154325604586,0.08339136340580655,2.729992520568437,-15.680531926026262,74.29568686113188,0.0,0.0,False,True,False,False
36061022302,"Census Tract 223.02, New York County, New York",3426,25309.0,,802.0,407.0,737.0,26.0,265.0,0.0,11.0,77.0,1929.0,3997.0,17400.0,583300.0,215.0,55.0,1242.0,10.0,8.0,0.0,2673.0,23.409223584354933,5.37903427570678,18.030189308648154,,True,True,False,True,True,False,False,False,10.503711116670837,11.87974314068885,-9.561337669919105,21.511967308814945,0.04169794012175798,0.7589025102159953,0.033358352097406396,7.734967892586106,-10.570427820865639,56.30472854640981,0.0,0.0,False,False,False,True
36061022400,"Census Tract 224, New York County, New York",7616,30255.0,566700.0,1133.0,759.0,4408.0,54.0,106.0,0.0,9.0,84.0,2196.0,6211.0,15900.0,363200.0,335.0,58.0,4791.0,26.0,49.0,0.0,1248.0,14.8765756302521,5.393656416036065,9.482919214216036,0.10273513322745731,True,True,False,True,True,True,False,False,9.032034263552466,9.965861344537815,-19.259185722268292,57.878151260504204,-0.07722558513020406,0.7090336134453782,-0.1455405258223077,1.3918067226890758,8.74065090534684,28.834033613445374,0.0,0.0,False,False,False,True
