,GEOID,total_population00,median_income00,median_home_value00,educational_attainment_00,white_alone00,black_alone00,native00,asian00,native_hawaiian_pacific_islander00,hispanic_or_latino00
3239,36071012602,3320.088952,48628.12451,133535.7016,502.82637,2375.2301350000002,312.1740934,18.123724300000003,115.08774640000001,0.0,482.396055
3240,36071012700,4207.0,42796.0,116300.0,553.0,3262.0,295.0,20.0,67.0,0.0,534.0
3241,36071012800,4978.69229,59073.999729999996,138499.9968,741.9735718,4066.41333,307.7447205,3.983750582,79.67501068,0.0,518.8834839
3242,36071012900,3187.0,58214.0,159900.0,836.0,3008.0,10.0,10.0,29.0,0.0,122.0
3243,36071013000,4307.218714,57108.199929999995,140368.8788,913.9035568,3887.8621009999997,65.39398253,19.02638554,66.58874094,0.0,261.29002290000005
3244,36071013100,4812.166455,63894.71469,192942.0384,1189.035194,4323.735586,111.11392430000001,11.03918481,106.6791713,0.001681143,248.6278762
3245,36071013201,4881.941709000001,65163.267470000006,157446.2667,841.7226143999999,3975.4779799999997,259.2464113,25.3092233,85.59229124,0.0,521.2615246
3246,36071013202,2268.6770079999997,65089.257489999996,157303.9268,390.2995245,1848.2643030000002,120.35114229999999,11.76384643,39.6080014,0.0,241.6518559
3247,36071013300,6732.818406999999,71154.49382,168898.5301,1196.044969,5841.633500999999,222.8993603,72.96464379,87.10792295,0.0,493.1997086
3248,36071013400,3490.5739630000003,61350.526289999994,159900.0629,511.02635260000005,3001.5463760000002,90.00704949,17.99995327,73.00221917,0.0,301.0181702
3249,36071013500,4632.4458509999995,80911.40774,169700.06699999998,1032.004177,3834.4174799999996,222.0020886,6.001392417000001,128.003481,1.0,429.016709
3250,36071013600,7126.624531,56515.99875,1000001.0090000001,1196.09082,5601.05957,652.9577637,46.92509842,336.4629517,2.995218992,467.25418089999994
3251,36071013700,2553.37565,42824.8011,127225.9787,294.2378858,1647.796777,431.67577400000005,21.0485648,86.34821996,0.0030998809999999996,354.4835814
3252,36071013800,2807.0,58346.0,148600.0,518.0,2515.0,80.0,19.0,40.0,0.0,141.0
3253,36071013900,4221.012749,76934.9756,198600.2628,1030.0043859999998,3817.011445,56.00019119,14.00004971,65.00046651,0.0,256.000543
3254,36071014101,3874.9999350000003,61962.9985,154199.9976,720.8347778,3155.076904,140.42828369999998,20.06118393,157.75384519999997,0.0,389.3693237
3255,36071014102,4623.999811,61962.99786,154199.9935,860.1651611,3764.922852,167.571701,23.93881607,188.2461395,0.0,464.6306458000001
3256,36071014201,3647.899009,76121.76026,167812.6915,868.5384149,3240.943553,42.28127389,12.97762584,75.96416149,0.011808774,264.76002769999997
3257,36071014202,5495.0,78434.0,189900.0,1224.0,4935.0,83.0,17.0,134.0,0.0,306.0
3258,36071014301,5666.398647999999,57663.603910000005,126202.9849,851.3847426000001,4038.509451,619.0549440000001,38.87792016,196.38743380000003,7.74409e-05,766.5907808
3259,36071014302,6652.710353,82754.44214,194463.9542,1285.437399,5744.106771,234.02838340000002,17.08626519,153.52529099999998,5.035917435,491.18088150000005
3260,36071014400,4315.403668999999,58250.00083,164300.0072,771.3571777000001,3875.7700200000004,98.91756439,26.97751808,27.97668457,0.0,270.77435299999996
3261,36071014501,4104.184363,69627.00211,193299.9983,882.8527832000001,3798.245361,72.22922516,14.72188091,42.78546524,0.0,171.141861
3262,36071014502,4819.906777,69613.71793,193276.8102,1036.7841779999999,4460.517675,84.88440172,17.29043995,50.23963094,0.000912727,201.02926010000002
3263,36071014600,6770.908395,51825.00125,152100.0011,1395.362915,6052.236328,248.8863525,26.98767662,54.97489929,1.999087214,374.82885739999995
3264,36071014700,3934.105535,78121.44161000001,149104.4181,522.7261381,2523.154993,700.7044302999999,40.93806083,72.36164161,0.9522738479999999,581.7133612000001
3265,36071014800,6618.0,53450.0,127300.0,855.0,5985.0,133.0,33.0,88.0,3.0,362.0
3266,36071014900,3333.987282,70417.0006,275800.0043,1146.995605,2992.988525,49.99980927,12.99995041,121.99953459999999,0.0,141.9994507
3267,36071015003,3585.5542509999996,12942.00008,170899.9993,10.35913086,3515.198486,5.17956543,3.4530436989999997,8.632609367,0.0,41.43652344
3268,36071015004,4720.0002,12941.99982,170899.9956,13.63669205,4627.384277,6.818346023999999,4.545564175,11.36391068,0.0,54.54676819
3269,36071015005,2192.08783,20427.99945,160500.0039,47.38671875,2143.615967,11.57538128,0.361730665,4.702498436,0.0,31.470567699999997
3270,36071015006,3866.2768189999997,20428.00077,160500.0046,83.57793427,3780.7849119999996,20.4159832,0.637999475,8.293992996,0.0,55.50595474
3271,36071015100,6140.0,28663.849360000004,94310.20408,477.0,3279.0,1095.0,54.0,73.0,0.0,1601.0
3272,36071015200,7096.214253,54357.426660000005,145685.8868,904.4963838,6018.999659,392.82208149999997,50.96886739,75.37359385,0.0,523.0896031999999
3273,36079010100,3855.0,62695.0,147400.0,559.0,3376.0,125.0,24.0,54.0,0.0,267.0
3274,36079010200,7449.087495000001,70281.0176,203875.5502,1644.3893289999999,6428.457214,307.8627233,28.99052079,132.9450598,0.999423683,524.8380768999999
3275,36079010300,5263.607081,67611.28635,145125.00699999998,745.7498612,4779.78751,89.01382583,15.99218045,47.99451454,0.000390763,310.8328973
3276,36079010400,3380.6683009999997,75649.00223,165899.9963,617.2009277000001,3005.370361,62.71557617,17.91873741,38.82392883,0.0,226.97065730000003
